id,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price_per_night,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2539,2787,John,Brooklyn,Kensington,40.64749,-73.97237,Private Room,149,1,9,2018-10-19,0.21,6,365
2595,2845,Jennifer,Manhattan,Midtown,40.75362,-73.98377,Entire Home/Apt,225,1,45,2019-05-21,0.38,2,355
3831,4869,Lisaroxanne,Brooklyn,Clinton Hill,40.68514,-73.95976,Entire Home/Apt,89,1,270,2019-07-05,4.64,1,194
5022,7192,Laura,Manhattan,East Harlem,40.79851,-73.94399,Entire Home/Apt,80,10,9,2018-11-19,0.1,1,0
5099,7322,Chris,Manhattan,Murray Hill,40.74767,-73.975,Entire Home/Apt,200,3,74,2019-06-22,0.59,1,129
5121,7356,Garon,Brooklyn,Bedford-Stuyvesant,40.68688,-73.95596,Private Room,60,45,49,2017-10-05,0.4,1,0
5178,8967,Shunichi,Manhattan,Hell'S Kitchen,40.76489,-73.98493,Private Room,79,2,430,2019-06-24,3.47,1,220
5203,7490,Maryellen,Manhattan,Upper West Side,40.80178,-73.96723,Private Room,79,2,118,2017-07-21,0.99,1,0
5238,7549,Ben,Manhattan,Chinatown,40.71344,-73.99037,Entire Home/Apt,150,1,160,2019-06-09,1.33,4,188
5295,7702,Lena,Manhattan,Upper West Side,40.80316,-73.96545,Entire Home/Apt,135,5,53,2019-06-22,0.43,1,6
5441,7989,Kate,Manhattan,Hell'S Kitchen,40.76076,-73.98867,Private Room,85,2,188,2019-06-23,1.5,1,39
5803,9744,Laurie,Brooklyn,South Slope,40.66829,-73.98779,Private Room,89,4,167,2019-06-24,1.34,3,314
6021,11528,Claudio,Manhattan,Upper West Side,40.79826,-73.96113,Private Room,85,2,113,2019-07-05,0.91,1,333
6090,11975,Alina,Manhattan,West Village,40.7353,-74.00525,Entire Home/Apt,120,90,27,2018-10-31,0.22,1,0
6848,15991,Allen & Irina,Brooklyn,Williamsburg,40.70837,-73.95352,Entire Home/Apt,140,2,148,2019-06-29,1.2,1,46
7097,17571,Jane,Brooklyn,Fort Greene,40.69169,-73.97185,Entire Home/Apt,215,2,198,2019-06-28,1.72,1,321
7322,18946,Doti,Manhattan,Chelsea,40.74192,-73.99501,Private Room,140,1,260,2019-07-01,2.12,1,12
7726,20950,Adam And Charity,Brooklyn,Crown Heights,40.67592,-73.94694,Entire Home/Apt,99,3,53,2019-06-22,4.44,1,21
7801,21207,Chaya,Brooklyn,Williamsburg,40.71842,-73.95718,Entire Home/Apt,299,3,9,2011-12-28,0.07,1,0
8024,22486,Lisel,Brooklyn,Park Slope,40.68069,-73.97706,Private Room,130,2,130,2019-07-01,1.09,6,347
8025,22486,Lisel,Brooklyn,Park Slope,40.67989,-73.97798,Private Room,80,1,39,2019-01-01,0.37,6,364
8110,22486,Lisel,Brooklyn,Park Slope,40.68001,-73.97865,Private Room,110,2,71,2019-07-02,0.61,6,304
8490,25183,Nathalie,Brooklyn,Bedford-Stuyvesant,40.68371,-73.94028,Entire Home/Apt,120,2,88,2019-06-19,0.73,2,233
8505,25326,Gregory,Brooklyn,Windsor Terrace,40.65599,-73.97519,Private Room,60,1,19,2019-06-23,1.37,2,85
9357,30193,Tommi,Manhattan,Hell'S Kitchen,40.76715,-73.98533,Entire Home/Apt,150,10,58,2017-08-13,0.49,1,75
9518,31374,Shon,Manhattan,Inwood,40.86482,-73.92106,Private Room,44,3,108,2019-06-15,1.11,3,311
9657,21904,Dana,Manhattan,East Village,40.7292,-73.98542,Entire Home/Apt,180,14,29,2019-04-19,0.24,1,67
9668,32294,Ssameer Or Trip,Manhattan,Harlem,40.82245,-73.95104,Private Room,50,3,242,2019-06-01,2.04,3,355
9704,32045,Teri,Manhattan,Harlem,40.81305,-73.95466,Private Room,52,2,88,2019-06-14,1.42,1,255
9782,32169,Andrea,Brooklyn,Greenpoint,40.72219,-73.93762,Private Room,55,4,197,2019-06-15,1.65,3,284
9783,32294,Ssameer Or Trip,Manhattan,Harlem,40.8213,-73.95318,Private Room,50,3,273,2019-07-01,2.37,3,359
10452,35935,Angela,Brooklyn,Bedford-Stuyvesant,40.6831,-73.95473,Private Room,70,1,74,2019-05-12,0.66,2,269
10962,9744,Laurie,Brooklyn,South Slope,40.66869,-73.9878,Private Room,89,4,168,2019-06-21,1.41,3,340
11708,44145,Tyrome,Brooklyn,Bushwick,40.70186,-73.92745,Entire Home/Apt,85,2,231,2019-06-22,1.96,2,22
12048,7549,Ben,Manhattan,Lower East Side,40.71401,-73.98917,Shared Room,40,1,214,2019-07-05,1.81,4,188
12192,46978,Edward,Manhattan,East Village,40.7229,-73.98199,Private Room,68,2,245,2019-06-21,2.08,2,96
12299,47610,Abdul,Brooklyn,South Slope,40.66278,-73.97966,Entire Home/Apt,120,3,15,2019-05-27,0.39,1,345
12303,47618,Yolande,Brooklyn,Fort Greene,40.69673,-73.97584,Private Room,120,7,25,2018-09-30,0.23,1,311
12318,16800,Cyn,Manhattan,Upper West Side,40.79009,-73.97927,Private Room,135,4,81,2019-06-16,0.69,1,273
12343,47727,Earl,Manhattan,Harlem,40.81175,-73.94478,Entire Home/Apt,150,7,97,2019-06-13,0.84,1,309
12627,49670,Rana,Brooklyn,Prospect-Lefferts Gardens,40.65944,-73.96238,Entire Home/Apt,150,29,11,2019-06-05,0.49,1,95
12937,50124,Orestes,Queens,Long Island City,40.74771,-73.9474,Private Room,130,3,248,2019-07-01,2.25,1,215
12940,50148,Adreinne,Brooklyn,Bedford-Stuyvesant,40.68111,-73.95591,Entire Home/Apt,110,7,61,2019-05-25,0.52,1,265
13050,50846,Jennifer,Brooklyn,Bedford-Stuyvesant,40.68554,-73.9409,Entire Home/Apt,115,3,11,2017-01-01,0.1,1,0
13394,52335,Alexander,Brooklyn,Fort Greene,40.69142,-73.97376,Private Room,80,3,135,2019-06-17,1.16,2,192
13808,54275,Jt And Tiziana,Brooklyn,Bedford-Stuyvesant,40.68043,-73.93934,Private Room,80,1,112,2019-06-16,1.01,3,251
14287,56094,Joya,Manhattan,Upper West Side,40.78635,-73.97008,Entire Home/Apt,151,2,73,2019-07-07,0.63,1,302
14290,56104,James,Brooklyn,Williamsburg,40.7042,-73.9356,Entire Home/Apt,228,3,82,2019-05-17,0.7,1,140
14314,56246,Jeanne,Brooklyn,Greenpoint,40.73506,-73.95392,Entire Home/Apt,144,2,328,2019-06-29,2.82,1,234
14322,56284,Francesca,Manhattan,Kips Bay,40.73961,-73.98074,Entire Home/Apt,200,7,19,2019-03-25,0.22,1,257
14377,56512,Joanna,Brooklyn,Williamsburg,40.70881,-73.9593,Entire Home/Apt,150,30,105,2019-06-22,0.9,1,30
14991,59023,Bianca,Manhattan,Lower East Side,40.72004,-73.99104,Private Room,110,5,19,2019-05-18,0.17,1,301
15220,59734,Luiz,Manhattan,Hell'S Kitchen,40.75531,-73.99293,Private Room,69,2,289,2019-06-09,2.49,2,294
15338,32169,Andrea,Brooklyn,Greenpoint,40.72401,-73.93788,Private Room,49,4,138,2019-06-04,1.19,3,320
